project_name,wb_region,country_/_economy,country_/_economy_lending_group,country_/_economy_fcs_status,country_/_economy_fcs_lending_group,practice_group,global_practice,agreement_type,lending_instrument_type,approval_fy,final_closing_fy,evaluation_type,outcome,quality_at_entry,quality_of_supervision,bank_performance,m&e_quality,evaluation_fy
ELECTRIF.OF SO.PROV.,East Asia and Pacific,Lao People's Democratic Republic,IDA,,Other,Other,Other,IDA,IPF,1987.0,,EVM,Highly Satisfactory,Satisfactory,Satisfactory,,,1996
Lake Titicaca Local Sustainable Development,Latin America and Caribbean,Bolivia,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2008.0,2015.0,ICRR,Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Negligible,2017
BO:  Investing in Children and Youth,Latin America and Caribbean,Bolivia,IBRD,non-FCS,IBRD non-FCS,Human Development,Social Protection & Jobs,IDA,IPF,2008.0,2015.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,2017
China Bengbu Integrated Environment Improvement Project,East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,2008.0,2015.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Han River Urban Environment Improvement Project,East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Water,IBRD,IPF,2008.0,2015.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2017
Emergency Post-Conflict Assistance Project,Western and Central Africa,Cote d'Ivoire,Blend,FCS,Blend FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2008.0,2016.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2017
DRC Enhancing Governance Capacity,Eastern and Southern Africa,"Congo, Democratic Republic of",IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2008.0,2016.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2017
Third Programmatic Business Product and Efficiency Development Policy Loan,Latin America and Caribbean,Colombia,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,2008.0,2011.0,PPAR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Colombia Rural Education Project (APL Phase II),Latin America and Caribbean,Colombia,IBRD,non-FCS,IBRD non-FCS,Human Development,Education,IBRD,IPF,2008.0,2016.0,ICRR,Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
DO Social Protection Investment Project,Latin America and Caribbean,Dominican Republic,IBRD,non-FCS,IBRD non-FCS,Human Development,Social Protection & Jobs,IBRD,IPF,2008.0,2016.0,ICRR,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2017
Integrated Sanitation& Sewerage Infrastructure Project,"Middle East, North Africa, Afghanistan, and Pakist","Egypt, Arab Republic of",IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Water,IBRD,IPF,2008.0,2016.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Modest,2017
Ghana Agriculture DPL,Western and Central Africa,Ghana,IDA,non-FCS,IDA non-FCS,Sustainable Development,Agriculture and Food,IDA,DPF,2008.0,2009.0,PPAR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Negligible,2017
Agricultural Pollution Control Project,Europe and Central Asia,Croatia,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",GEF,IPF,2008.0,2013.0,PPAR,Moderately Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Modest,2017
AGRI.CR.II(BTM),Eastern and Southern Africa,Madagascar,IDA,,Other,Other,Other,IDA,IPF,1987.0,,PCR,Unsatisfactory,Satisfactory,Unsatisfactory,,,1996
IQ-EMERGENCY WATER SUPPLY PROJECT,"Middle East, North Africa, Afghanistan, and Pakist",Iraq,IBRD,FCS,IBRD FCS,Sustainable Development,Water,IDA,IPF,2008.0,2016.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,2017
Promotion of a Wind Power Market,"Middle East, North Africa, Afghanistan, and Pakist",Jordan,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Energy & Extractives,GEF,IPF,2008.0,2015.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2017
Customs Development Project,Europe and Central Asia,Kazakhstan,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions",Governance,IBRD,IPF,2008.0,2016.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2017
TECHNOLOGY COMMERCIALIZATION PROJECT,Europe and Central Asia,Kazakhstan,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,IPF,2008.0,2016.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Bishkek and Osh Urban Infrastructure Project,Europe and Central Asia,Kyrgyz Republic,IDA,non-FCS,IDA non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2008.0,2016.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2017
Cambodia Second Health Sector Support Program,East Asia and Pacific,Cambodia,IDA,non-FCS,IDA non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2008.0,2016.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2017
LA-Khammouane Development Project,East Asia and Pacific,Lao People's Democratic Republic,IDA,non-FCS,IDA non-FCS,Sustainable Development,Agriculture and Food,IDA,IPF,2008.0,2016.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2017
LR-Agriculture & Infrastructure Development  Project,Western and Central Africa,Liberia,IDA,FCS,IDA FCS,Infrastructure,Transport,IDA,IPF,2008.0,2016.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Modest,2017
Maldives Environmental Management Project,South Asia,Maldives,IDA,non-FCS,IDA non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,2008.0,2016.0,ICRR,Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2017
Mexico (CRL) Integrated Energy Services,Latin America and Caribbean,Mexico,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Energy & Extractives,IBRD,IPF,2008.0,2016.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,2017
Water Services and Institutional Support Project,Eastern and Southern Africa,Mozambique,IDA,non-FCS,IDA non-FCS,Sustainable Development,Water,IDA,IPF,2008.0,2016.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2017
PG Second Mining Sector Inst Strengthening TA,East Asia and Pacific,Papua New Guinea,Blend,non-FCS,Blend non-FCS,Infrastructure,Energy & Extractives,IDA,IPF,2008.0,2015.0,ICRR,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
GZ-ELECTRIC UTILITY MANAGEMENT PROJECT,"Middle East, North Africa, Afghanistan, and Pakist",West Bank and Gaza,Other,FCS,Other,Infrastructure,Energy & Extractives,SPF,IPF,2008.0,2017.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2017
Rural Development Program,East Asia and Pacific,Solomon Islands,IDA,FCS,IDA FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2008.0,2015.0,PPAR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Health Sector Strategic Plan Support Project,East Asia and Pacific,Timor-Leste,Blend,FCS,Blend FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2008.0,2015.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2017
Science & Technology Higher Education,Eastern and Southern Africa,Tanzania,IDA,non-FCS,IDA non-FCS,Human Development,Education,IDA,IPF,2008.0,2016.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2017
Urban Infrastructure Project,Europe and Central Asia,Ukraine,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Water,IBRD,IPF,2008.0,2015.0,ICRR,Moderately Satisfactory,Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Land Administration Project,East Asia and Pacific,Viet Nam,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2008.0,2015.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Satisfactory,Moderately Satisfactory,Modest,2017
Northern Upland Health Support Project,East Asia and Pacific,Viet Nam,IBRD,non-FCS,IBRD non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2008.0,2016.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2017
SAMOA HEALTH SECTOR MANAGEMENT PROGRAM SUPPORT PROJECT,East Asia and Pacific,Samoa,IDA,non-FCS,IDA non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2008.0,2016.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Modest,2017
Secondary Education Development and Girls Access Program,"Middle East, North Africa, Afghanistan, and Pakist","Yemen, Republic of",IDA,FCS,IDA FCS,Human Development,Education,IDA,IPF,2008.0,2015.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Zm: Increased Access to Electricity Services,Eastern and Southern Africa,Zambia,IDA,non-FCS,IDA non-FCS,Infrastructure,Energy & Extractives,IDA,IPF,2008.0,2015.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Satisfactory,Moderately Satisfactory,Substantial,2017
Africa Stockpiles Programme - P1 Ethiopia,Africa,Africa,Other,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",GEF,IPF,2007.0,2013.0,PPAR,Unsatisfactory,Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Negligible,2017
REAL ESTATE REGISTRATION,Europe and Central Asia,Azerbaijan,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,2007.0,2016.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Agriculture and Rural Development Project,Europe and Central Asia,Bosnia and Herzegovina,IBRD,FCS,IBRD FCS,Sustainable Development,Agriculture and Food,IDA,IPF,2007.0,2016.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,2017
China-Second Liaoning Medium Cities Infrastructure Project,East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Water,IBRD,IPF,2007.0,2015.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Second Programmatic Business Product and Efficiency Development Policy Loan,Latin America and Caribbean,Colombia,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,2007.0,2007.0,PPAR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
ET-Road Sector Dev. Stage III Proj. (APL3) in support of Govt's RSDP,Eastern and Southern Africa,Ethiopia,IDA,non-FCS,IDA non-FCS,Infrastructure,Transport,IDA,IPF,2007.0,2015.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2017
eGhana,Western and Central Africa,Ghana,IDA,non-FCS,IDA non-FCS,Infrastructure,Transport,IDA,IPF,2007.0,2015.0,PPAR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Ghana Urban Transport Project,Western and Central Africa,Ghana,IDA,non-FCS,IDA non-FCS,Infrastructure,Transport,IDA,IPF,2007.0,2016.0,ICRR,Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Negligible,2017
LAND ADMINISTRATION II APL,Latin America and Caribbean,Guatemala,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,2007.0,2016.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
EDUCATION QUALITY AND SECONDARY EDUCATION,Latin America and Caribbean,Guatemala,IBRD,non-FCS,IBRD non-FCS,Human Development,Education,IBRD,IPF,2007.0,2016.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2017
TRADE AND TRANSPORT INTEGRATION,Europe and Central Asia,Croatia,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2007.0,2016.0,ICRR,Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Substantial,2017
HT Education For All Adaptable Program Grant Phase 1,Latin America and Caribbean,Haiti,IDA,FCS,IDA FCS,Human Development,Education,IDA,IPF,2007.0,2012.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
IN Uttarakhand Water Supply and Sanitation Project,South Asia,India,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Water,IDA,IPF,2007.0,2016.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,High,2017
"Bihar Rural Livelihoods Project - ""JEEViKA""",South Asia,India,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Agriculture and Food,IDA,IPF,2007.0,2017.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,2017
IQ - Emergency Electricity Reconstruction Project (EERP),"Middle East, North Africa, Afghanistan, and Pakist",Iraq,IBRD,FCS,IBRD FCS,Infrastructure,Energy & Extractives,IDA,IPF,2007.0,2015.0,ICRR,Unsatisfactory,Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Modest,2017
Development of The National Statistical System Project,Eastern and Southern Africa,Kenya,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,IPF,2007.0,2013.0,PPAR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Western Kenya CDD and Flood Mitigation Project,Eastern and Southern Africa,Kenya,Blend,non-FCS,Blend non-FCS,Sustainable Development,Agriculture and Food,IDA,IPF,2007.0,2016.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2017
SECOND TRANSPORT SECTOR PROJECT,Western and Central Africa,Mali,IDA,FCS,IDA FCS,Infrastructure,Transport,IDA,IPF,2007.0,2016.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Second National Water Development Project,Eastern and Southern Africa,Malawi,IDA,non-FCS,IDA non-FCS,Sustainable Development,Water,IDA,IPF,2007.0,2016.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Malaria Control Booster Project,Western and Central Africa,Nigeria,Blend,non-FCS,Blend non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2007.0,2015.0,ICRR,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2017
Fiscal Management and Competitiveness Development Policy Loan,Latin America and Caribbean,Peru,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2007.0,2008.0,PPAR,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2017
ROAD MAINTENANCE,Latin America and Caribbean,Paraguay,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2007.0,2016.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Nutrition Enhancement Program II,Western and Central Africa,Senegal,IDA,non-FCS,IDA non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2007.0,2014.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2017
Rural and Private Sector Development,Western and Central Africa,Sierra Leone,IDA,FCS,IDA FCS,Sustainable Development,Agriculture and Food,IDA,IPF,2007.0,2016.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2017
Bor Regional Development Project,Europe and Central Asia,Serbia,Other,non-FCS,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,IPF,2007.0,2015.0,ICRR,Highly Unsatisfactory,Highly Unsatisfactory,Unsatisfactory,Highly Unsatisfactory,Negligible,2017
Urban Development Project,Western and Central Africa,Chad,IDA,FCS,IDA FCS,Sustainable Development,Water,IDA,IPF,2007.0,2015.0,ICRR,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2017
TN-Tunis West Sewerage,"Middle East, North Africa, Afghanistan, and Pakist",Tunisia,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Water,IBRD,IPF,2007.0,2015.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Modest,2017
Water Sector Support Project,Eastern and Southern Africa,Tanzania,IDA,non-FCS,IDA non-FCS,Sustainable Development,Water,IDA,IPF,2007.0,2016.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Mekong Delta Transport Infrastructure Development Project,East Asia and Pacific,Viet Nam,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IDA,IPF,2007.0,2016.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Water Sector Performance Improvement Project,Eastern and Southern Africa,Zambia,IDA,non-FCS,IDA non-FCS,Sustainable Development,Water,IDA,IPF,2007.0,2013.0,PPAR,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2017
EDUCATION III,"Middle East, North Africa, Afghanistan, and Pakist",Oman,Other,,Other,Other,Other,IBRD,IPF,1987.0,,EVM,Satisfactory,Satisfactory,Satisfactory,,,1996
Africa Stockpiles Programme - Project 1,Africa,Africa,Other,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",GEF,IPF,2006.0,2012.0,PPAR,Unsatisfactory,Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Negligible,2017
"Africa Stockpiles Programme - Project 1 (Mali, Morocco and Tanzania)",Africa,Africa,Other,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",GEF,IPF,2006.0,2013.0,PPAR,Unsatisfactory,Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Negligible,2017
AFCC2/RI-East Africa Trade and Transport Facilitation Project,Africa,Africa,Other,,Other,Infrastructure,Transport,IDA,IPF,2006.0,2016.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2017
National Urban Solid Waste Management Project,Latin America and Caribbean,Argentina,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,2006.0,2015.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Satisfactory,Moderately Satisfactory,Substantial,2017
Highway 2,Europe and Central Asia,Azerbaijan,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2006.0,2015.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Judicial Modernization Project,Europe and Central Asia,Azerbaijan,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2006.0,2015.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Negligible,2017
Health Sector Support  & Multisectoral AIDS Project,Western and Central Africa,Burkina Faso,IDA,non-FCS,IDA non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2006.0,2015.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2017
Follow Up to CRESP Phase I,East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Energy & Extractives,IBRD,IPF,2006.0,2012.0,PPAR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2017
Shanghai Urban Environment APL Phase 2,East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,2006.0,2015.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Negligible,2017
China Economic Reform Implementation Project,East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,IPF,2006.0,2015.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
CO Sustainable Development Inv Project,Latin America and Caribbean,Colombia,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,IPF,2006.0,2015.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Negligible,2017
Djibouti Power Access and Diversification Project,"Middle East, North Africa, Afghanistan, and Pakist",Djibouti,IDA,non-FCS,IDA non-FCS,Infrastructure,Energy & Extractives,IDA,IPF,2006.0,2015.0,ICRR,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2017
Second Pollution Abatement Project,"Middle East, North Africa, Afghanistan, and Pakist","Egypt, Arab Republic of",IBRD,non-FCS,IBRD non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,IPF,2006.0,2015.0,PPAR,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2017
HN Rural Infrastructure Project,Latin America and Caribbean,Honduras,IDA,non-FCS,IDA non-FCS,Infrastructure,Energy & Extractives,IDA,IPF,2006.0,2016.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2017
Forest Protection & Reforestation Project,Europe and Central Asia,Kazakhstan,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,IPF,2006.0,2015.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2017
Health & Social Protection Project,Europe and Central Asia,Kyrgyz Republic,IDA,non-FCS,IDA non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2006.0,2015.0,ICRR,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2017
Cambodia Public Financial Management and Accountability,East Asia and Pacific,Cambodia,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2006.0,2014.0,PPAR,Unsatisfactory,Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Substantial,2017
Health Services Improvement Project,East Asia and Pacific,Lao People's Democratic Republic,IDA,non-FCS,IDA non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2006.0,2016.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,2017
SL- Road Sector Assistance Project,South Asia,Sri Lanka,IDA,non-FCS,IDA non-FCS,Infrastructure,Transport,IDA,IPF,2006.0,2015.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Large-scale Renewable Energy Development Project (Phase 1 = $25M; Phase 2 = $45M),Latin America and Caribbean,Mexico,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Energy & Extractives,GEF,IPF,2006.0,2016.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,2017
ECSEE APL 3 - FYR Macedonia,Europe and Central Asia,North Macedonia,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Energy & Extractives,IBRD,IPF,2006.0,2017.0,ICRR,Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Technical and Vocational Education and Training,Eastern and Southern Africa,Mozambique,IDA,non-FCS,IDA non-FCS,Human Development,Education,IDA,IPF,2006.0,2016.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Namibian Coast Conservation and Management Project,Eastern and Southern Africa,Namibia,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",GEF,IPF,2006.0,2016.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2017
Support for Strategic Local Development and Investment Project,East Asia and Pacific,Philippines,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,2006.0,2016.0,ICRR,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2017
Registration Project,Europe and Central Asia,Russian Federation,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,2006.0,2016.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2017
Municipal Infrastructure Development Project,Europe and Central Asia,Tajikistan,IDA,non-FCS,IDA non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2006.0,2016.0,ICRR,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2017
Tanzania Agricultural Sector Development Project,Eastern and Southern Africa,Tanzania,IDA,non-FCS,IDA non-FCS,Sustainable Development,Agriculture and Food,IDA,IPF,2006.0,2017.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Negligible,2017
Energy Sector Cleanup and Land Reclamation Project,Europe and Central Asia,Kosovo,IDA,FCS,IDA FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,2006.0,2017.0,ICRR,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2017
RY-Power Sector,"Middle East, North Africa, Afghanistan, and Pakist","Yemen, Republic of",IDA,FCS,IDA FCS,Infrastructure,Energy & Extractives,IDA,IPF,2006.0,2015.0,ICRR,Unsatisfactory,Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Modest,2017
