project_name,wb_region,country_/_economy,country_/_economy_lending_group,country_/_economy_fcs_status,country_/_economy_fcs_lending_group,practice_group,global_practice,agreement_type,lending_instrument_type,approval_fy,final_closing_fy,evaluation_type,outcome,quality_at_entry,quality_of_supervision,bank_performance,m&e_quality,evaluation_fy,CountryCode,GDP_USD,GDP_per_capita_USD,GDP_growth_pct,Inflation_CPI_pct,Unemployment_pct,Govt_debt_pct_GDP,Current_account_pct_GDP,Population_total
Sustainable Croatian Railways in Europe,Europe and Central Asia,Croatia,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2015,2024.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,2024,HRV,51005200669.6941,12285.3032582105,2.32317515803855,-0.464499004644924,16.175,,2.81569132776122,4151725.0
Haiti Sustainable Rural and Small Towns Water and Sanitation Project,Latin America and Caribbean,Haiti,IDA,FCS,IDA FCS,Sustainable Development,Water,IDA,IPF,2015,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2024,HTI,14849629308.6025,1411.12684746796,1.40000000859727,6.73184069659001,13.724,,-1.82345284080223,10523242.0
Eastern Dedicated Freight Corridor-3,South Asia,India,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2015,2022.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,IND,2103588360044.94,1583.99815907985,7.99625378571471,4.9069734412726,7.631,49.9647183856551,-1.06754907167965,1328024498.0
Tamil Nadu Sustainable Urban Development Project,South Asia,India,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,2015,2023.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,IND,2103588360044.94,1583.99815907985,7.99625378571471,4.9069734412726,7.631,49.9647183856551,-1.06754907167965,1328024498.0
Punjab Rural Water and Sanitation Sector Improvement Project,South Asia,India,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Water,IBRD,IPF,2015,2023.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,IND,2103588360044.94,1583.99815907985,7.99625378571471,4.9069734412726,7.631,49.9647183856551,-1.06754907167965,1328024498.0
KE Electricity Modernization Project,Eastern and Southern Africa,Kenya,Blend,non-FCS,Blend non-FCS,Infrastructure,Energy & Extractives,IDA,IPF,2015,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2024,KEN,70120446896.8359,1489.11959777284,4.96772112759767,6.58215429284783,2.762,,-6.30459656347733,47088526.0
LB-Environmental Pollution Abatement Project,"Middle East, North Africa, Afghanistan, and Pakist",Lebanon,IBRD,FCS,IBRD FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,IPF,2015,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2024,LBN,49929337836.8159,7714.1099998804,0.462320792597581,-3.74914524799631,9.306,,-17.1077378092157,6472469.0
Early Childhood Development Project,South Asia,Sri Lanka,IDA,non-FCS,IDA non-FCS,Human Development,Education,IDA,IPF,2015,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2024,LKA,85090301052.0465,4057.7158346231,4.20595547677647,3.76836783062097,4.519,73.5126591624451,-2.21267766202146,20970000.0
Ayeyarwady Integrated River Basin Management Project,East Asia and Pacific,Myanmar,IDA,FCS,IDA FCS,Sustainable Development,Water,IDA,IPF,2015,2022.0,ICRR,Moderately Unsatisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2024,MMR,59607290407.6191,1166.73305546337,6.99284029026121,9.45417189525994,0.766,,-5.21601722230747,51089056.0
Agricultural Development Support Project,East Asia and Pacific,Myanmar,IDA,FCS,IDA FCS,Sustainable Development,Agriculture and Food,IDA,IPF,2015,2022.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,MMR,59607290407.6191,1166.73305546337,6.99284029026121,9.45417189525994,0.766,,-5.21601722230747,51089056.0
Population and Health Support Project,Western and Central Africa,Niger,IDA,FCS,IDA FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2015,2022.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,NER,9683867926.44282,485.662574175279,4.39264883207291,-0.576090369833122,0.553,,-15.3473430526612,19939498.0
Earthquake Housing Reconstruction Project,South Asia,Nepal,IDA,non-FCS,IDA non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2015,2023.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,NPL,24360801286.7638,875.543635474862,3.97605327162971,7.86890895590899,10.644,,10.0433083922087,27823629.0
Nepal: Grid Solar and Energy Efficiency,South Asia,Nepal,IDA,non-FCS,IDA non-FCS,Infrastructure,Energy & Extractives,IDA,IPF,2015,2023.0,ICRR,Moderately Unsatisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,2024,NPL,24360801286.7638,875.543635474862,3.97605327162971,7.86890895590899,10.644,,10.0433083922087,27823629.0
Health System Resiliency Strengthening Project,"Middle East, North Africa, Afghanistan, and Pakist",West Bank and Gaza,Other,FCS,Other,Human Development,"Health, Nutrition & Population",SPF,IPF,2015,2022.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,PSE,13972400000.0,3272.15432360708,3.72129967114788,1.43161145810474,23.005,,-13.8789175930847,4270092.0
Somalia Recurrent Cost & Reform Financing Project - Phase 2,Eastern and Southern Africa,Somalia,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions",Governance,RETF,IPF,2015,2022.0,ICRR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,,,,,,,,,
Higher Education Project,Europe and Central Asia,Tajikistan,IDA,non-FCS,IDA non-FCS,Human Development,Education,IDA,IPF,2015,2023.0,ICRR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,TJK,8271431485.07484,956.916310930656,6.01930331771186,5.71455949649708,11.485,,-5.76773865149509,8643840.0
Pacific Islands Regional Oceanscape Program - Tuvalu,East Asia and Pacific,Tuvalu,IDA,FCS,IDA FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,2015,2023.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,2024,TUV,36811936.0824587,3357.83417700071,10.4166666666667,,,,-33.5990747275474,10963.0
TZ Education Program for Results,Eastern and Southern Africa,Tanzania,IDA,non-FCS,IDA non-FCS,Human Development,Education,IDA,PforR,2015,2022.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,TZA,47413919817.124,939.127319335938,6.16062877406682,5.58816952959303,2.159,,-5.52279532317806,52020962.0
Dar es Salaam Metropolitan Development Project,Eastern and Southern Africa,Tanzania,IDA,non-FCS,IDA non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2015,2023.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,TZA,47413919817.124,939.127319335938,6.16062877406682,5.58816952959303,2.159,,-5.52279532317806,52020962.0
Energy for Rural Transformation III,Eastern and Southern Africa,Uganda,IDA,non-FCS,IDA non-FCS,Infrastructure,Energy & Extractives,IDA,IPF,2015,2023.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,2024,UGA,32387183730.1002,862.934610355811,5.18785986002466,5.58968606251723,2.679,,-5.09288758031743,37531446.0
Skills Development Project,Eastern and Southern Africa,Uganda,IDA,non-FCS,IDA non-FCS,Human Development,Education,IDA,IPF,2015,2023.0,ICRR,Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,Substantial,2024,UGA,32387183730.1002,862.934610355811,5.18785986002466,5.58968606251723,2.679,,-5.09288758031743,37531446.0
Transmission Efficiency Project (TEP),East Asia and Pacific,Viet Nam,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Energy & Extractives,IBRD,IPF,2015,2022.0,PPAR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,VNM,239258328381.741,2577.56885340113,6.98715430598611,0.63120090517572,1.848,,-0.853052854546214,92823254.0
Sustainable Agriculture Transformation Project,East Asia and Pacific,Viet Nam,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Agriculture and Food,IDA,IPF,2015,2022.0,ICRR,Highly Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,Substantial,2024,VNM,239258328381.741,2577.56885340113,6.98715430598611,0.63120090517572,1.848,,-0.853052854546214,92823254.0
Ho Chi Minh City Green Transport Development,East Asia and Pacific,Viet Nam,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IDA,IPF,2015,2024.0,ICRR,Highly Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Negligible,2024,VNM,239258328381.741,2577.56885340113,6.98715430598611,0.63120090517572,1.848,,-0.853052854546214,92823254.0
WS:  Pacific Regional Connectivity Program: Phase 3 - Samoa,East Asia and Pacific,Samoa,IDA,non-FCS,IDA non-FCS,Digital,Digital Development,IDA,IPF,2015,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,WSM,824150498.653536,4084.36083819933,3.8503618166494,0.724470134874755,8.9,,-1.54215771746013,201782.0
Pacific Aviation Safety Office Reform Project,East Asia and Pacific,Pacific Islands,Other,non-FCS,Other,Infrastructure,Transport,IDA,IPF,2014,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,,,,,,,,,
RCIP4 - Regional Communications Infrastructure Program - APL 4 (RI),Eastern and Southern Africa,Eastern and Southern Africa,Other,non-FCS,Other,Digital,Digital Development,IDA,IPF,2014,2023.0,ICRR,Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,,,,,,,,,
Support for Capacity Dev't of the AUC and other African Union Organs,Eastern and Southern Africa,Eastern and Southern Africa,Other,non-FCS,Other,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2014,2023.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,2024,,,,,,,,,
Senegal River Basin Climate Change Resilience Development Project,Western and Central Africa,Western and Central Africa,Other,non-FCS,Other,Sustainable Development,Water,IDA,IPF,2014,2023.0,ICRR,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2024,,,,,,,,,
Second Community Agriculture Resource Management and Competitiveness Project,Europe and Central Asia,Armenia,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Agriculture and Food,IBRD,IPF,2014,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,ARM,11609513246.7958,3852.11800610384,3.60000000058993,2.98130868933676,17.498,,-7.76786633240124,3013800.0
LAND MOBILIZATION,East Asia and Pacific,Papua New Guinea,Blend,non-FCS,Other,Other,Other,IBRD,IPF,1989,,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Not Evaluated,1998,,,,,,,,,
BRAZIL BAHIA SUSTAINABLE RURAL DEVELOPMENT PROJECT,Latin America and Caribbean,Brazil,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Agriculture and Food,IBRD,IPF,2014,2023.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,BRA,2456043727198.85,12274.9939689363,0.503955740242247,6.32904015516141,6.755,58.4572711058609,-4.4988303801852,200085127.0
China Economic Transformation and Institutional Capacity Building,East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,IPF,2014,2023.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,CHN,10674533168257.4,7781.06597484974,7.46190028229434,1.92164162788522,4.63,,2.21130586371267,1371860000.0
Fujian Fishing Ports Project,East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,2014,2023.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,CHN,10674533168257.4,7781.06597484974,7.46190028229434,1.92164162788522,4.63,,2.21130586371267,1371860000.0
Cameroon - Multimodal Transport Project,Western and Central Africa,Cameroon,Blend,FCS,Blend FCS,Infrastructure,Transport,IDA,IPF,2014,2023.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,2024,CMR,36386544706.0806,1649.4433905949,5.71981814509198,1.85489850366779,3.534,,-3.85300319903712,22059893.0
Public Service Reform and Rejuvenation Project,Eastern and Southern Africa,"Congo, Democratic Republic of",IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2014,2022.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Modest,2024,,,,,,,,,
CG-Statistics Capacity Building Project,Western and Central Africa,"Congo, Republic of",Blend,FCS,Blend FCS,"Equitable Growth, Finance and Institutions",Poverty and Equity,IDA,IPF,2014,2024.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,,,,,,,,,
Ethiopia Competitiveness and Job Creation Project,Eastern and Southern Africa,Ethiopia,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2014,2023.0,ICRR,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,ETH,55612228233.5179,549.986577082588,10.2574929610054,6.89001951597188,2.359,26.9372797365191,-10.3781721184148,101115610.0
Irrigation and Land Market Development Project,Europe and Central Asia,Georgia,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Water,IDA,IPF,2014,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2024,GEO,17966015109.3043,4830.33486170249,4.09049059581743,3.06881210379543,17.439,30.3921568627451,-9.9308784427995,3719414.0
Power Sector Recovery Project,Western and Central Africa,Guinea,IDA,non-FCS,IDA non-FCS,Infrastructure,Energy & Extractives,IDA,IPF,2014,2022.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,GIN,8778473372.82124,765.146999389279,3.69655311664086,6.15050556706421,5.09,,-11.1827727004958,11472924.0
Guyana Secondary Education Improvement,Latin America and Caribbean,Guyana,IDA,non-FCS,IDA non-FCS,Human Development,Education,IDA,IPF,2014,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2024,GUY,4127660151.8087,5472.68820452237,1.68649445019584,0.852630497539887,12.639,,-9.33174702245427,754229.0
Coral Reef Rehabilitation and Management Program - Coral Triangle Initiative (COREMAP-CTI),East Asia and Pacific,Indonesia,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,IPF,2014,2022.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,IDN,890814755533.537,3441.06808464008,5.006668425755,6.39492882396561,4.049,,-3.08816907525921,258877399.0
Eastern Dedicated Freight Corridor - II,South Asia,India,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2014,2021.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,IND,2039126479154.52,1553.88396075118,7.41022760508854,6.66565671867896,7.674,49.9009248748319,-1.33950896483453,1312277191.0
Uttarakhand Disaster Recovery Project,South Asia,India,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2014,2024.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,IND,2039126479154.52,1553.88396075118,7.41022760508854,6.66565671867896,7.674,49.9009248748319,-1.33950896483453,1312277191.0
Transport Corridors Project,"Middle East, North Africa, Afghanistan, and Pakist",Iraq,IBRD,FCS,IBRD FCS,Infrastructure,Transport,IBRD,IPF,2014,2023.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,IRQ,228415656174.957,6249.39226978969,2.26368817563613,,10.59,,6.94151191976759,36550059.0
Second Lao Environment & Social Project (formerly Protected Area and Wildlife Project),East Asia and Pacific,Lao People's Democratic Republic,IDA,non-FCS,IDA non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,2014,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2024,,,,,,,,,
Saint Lucia Disaster Vulnerability Reduction Project,Latin America and Caribbean,St. Lucia,Blend,non-FCS,Blend non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2014,2023.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2024,LCA,1749185185.18518,10044.8218377677,1.32809022110105,3.51695551369242,21.597,,-2.42897703597574,174138.0
Second Private Sector Competitiveness and Economic Diversification Prj,Eastern and Southern Africa,Lesotho,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2014,2022.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,LSO,2441063054.05792,1173.5377928819,1.71054990545476,5.3702896100859,16.104,33.0174927862044,-8.42016664486881,2080089.0
MA-Rural Water Supply,"Middle East, North Africa, Afghanistan, and Pakist",Morocco,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Water,IBRD,IPF,2014,2023.0,ICRR,Satisfactory,Moderately Unsatisfactory,Satisfactory,Moderately Satisfactory,Modest,2024,MAR,119130841411.664,3435.40698242188,2.7192440802029,0.442310053557046,9.7,,-5.53783287947429,34204780.0
Moldova Health Transformation Project,Europe and Central Asia,Moldova,IBRD,non-FCS,IBRD non-FCS,Human Development,"Health, Nutrition & Population",IDA,PforR,2014,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2024,MDA,9402090137.7423,3289.95758568777,4.99962585407656,5.08878554625884,1.425,21.0660070666528,-6.04440067766107,2857815.0
Maldives: PFM Systems Strengthening Project,South Asia,Maldives,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2014,2023.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,MDV,3697353039.20043,8939.07416571472,7.86068637180522,2.12000175718132,7.477,,-3.18665825232612,413617.0
URBAN WATER SUPPLY PROJECT,Western and Central Africa,Mali,IDA,FCS,IDA FCS,Sustainable Development,Water,IDA,IPF,2014,2023.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,MLI,16943434590.8343,940.243260037952,7.60253468971403,0.883814547137851,1.474,,-3.99408756693757,18020267.0
Mali Reconstruction and Economic Recovery,Western and Central Africa,Mali,IDA,FCS,IDA FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2014,2023.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,MLI,16943434590.8343,940.243260037952,7.60253468971403,0.883814547137851,1.474,,-3.99408756693757,18020267.0
MM:  Telecommunications Sector Reform,East Asia and Pacific,Myanmar,IDA,FCS,IDA FCS,Digital,Digital Development,IDA,IPF,2014,2022.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Negligible,2024,MMR,65531374199.6663,1293.00042298688,8.16990745558277,4.95329918484384,0.763,,-3.78673335196201,50681634.0
Myanmar Decentralizing Funding to Schools,East Asia and Pacific,Myanmar,IDA,FCS,IDA FCS,Human Development,Education,IDA,IPF,2014,2022.0,ICRR,Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,Substantial,2024,MMR,65531374199.6663,1293.00042298688,8.16990745558277,4.95329918484384,0.763,,-3.78673335196201,50681634.0
E-Health Project,East Asia and Pacific,Mongolia,IBRD,non-FCS,IBRD non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2014,2023.0,ICRR,Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2024,MNG,12226514668.0622,4126.23975800524,7.88522548204762,12.253980812976,4.798,,-15.8208781709903,2963113.0
MN:  SMART Government,East Asia and Pacific,Mongolia,IBRD,non-FCS,IBRD non-FCS,Digital,Digital Development,IDA,IPF,2014,2023.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,MNG,12226514668.0622,4126.23975800524,7.88522548204762,12.253980812976,4.798,,-15.8208781709903,2963113.0
Mongolia Education Quality Reform Project,East Asia and Pacific,Mongolia,IBRD,non-FCS,IBRD non-FCS,Human Development,Education,IDA,IPF,2014,2023.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,MNG,12226514668.0622,4126.23975800524,7.88522548204762,12.253980812976,4.798,,-15.8208781709903,2963113.0
Niger Disaster Risk Management and Urban Development Project,Western and Central Africa,Niger,IDA,FCS,IDA FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2014,2023.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,NER,10862943543.5419,565.30989731175,6.64213665495603,-0.930287259984459,0.524,,-12.0310951996372,19215909.0
Gaza Solid Waste Management Project,"Middle East, North Africa, Afghanistan, and Pakist",West Bank and Gaza,Other,FCS,Other,Infrastructure,"Urban, Resilience and Land",SPF,IPF,2014,2023.0,ICRR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,High,2024,PSE,13989700000.0,3352.11259506043,-0.157866650855297,1.73298510037452,20.526,,-13.5869104014545,4173398.0
Public Financial Management Improvement and Consolidation Project,Western and Central Africa,Sierra Leone,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2014,2022.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2024,SLE,7686138790.90872,1117.7586465721,-7.81501512457241,4.63931171409662,4.678,,-6.1504170840874,6876385.0
Sierra Leone Safety Nets Project,Western and Central Africa,Sierra Leone,IDA,non-FCS,IDA non-FCS,Human Development,Social Protection & Jobs,IDA,IPF,2014,2023.0,ICRR,Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,Substantial,2024,SLE,7686138790.90872,1117.7586465721,-7.81501512457241,4.63931171409662,4.678,,-6.1504170840874,6876385.0
Second Serbia Health Project,Europe and Central Asia,Serbia,Other,non-FCS,Other,Human Development,"Health, Nutrition & Population",IBRD,IPF,2014,2023.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,SRB,49114321280.3466,6886.67809068704,-1.80427024822048,2.08244793880153,19.223,,-5.36439658261537,7131787.0
Third Export Development Project (EDP III),"Middle East, North Africa, Afghanistan, and Pakist",Tunisia,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,2014,2023.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,2024,TUN,50271812920.612,4458.97895464547,3.09032803070775,4.62555099534026,14.259,,-8.87794509825977,11274288.0
Tanzania - Intermodal & Rail Development Project,Eastern and Southern Africa,Tanzania,IDA,non-FCS,IDA non-FCS,Infrastructure,Transport,IDA,IPF,2014,2023.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,2024,TZA,49986726460.6805,1022.74841308594,6.73246186832483,6.13161432988011,2.125,,-9.97575000776711,50351512.0
Uganda: Albertine Region Sustainable Development Project,Eastern and Southern Africa,Uganda,IDA,non-FCS,IDA non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2014,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2024,UGA,32612397257.4458,896.054795546394,5.10630732539796,3.07570668958643,2.348,,-6.64160843323991,36395539.0
Second Kampala Institutional and Infrastructure Development Project,Eastern and Southern Africa,Uganda,IDA,non-FCS,IDA non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2014,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,UGA,32612397257.4458,896.054795546394,5.10630732539796,3.07570668958643,2.348,,-6.64160843323991,36395539.0
SOUTH KARAKALPAKSTAN WATER RESOURCES MGMT IMPROVEMENT,Europe and Central Asia,Uzbekistan,Blend,non-FCS,Blend non-FCS,Sustainable Development,Water,IBRD,IPF,2014,2024.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2024,UZB,80845385809.4529,2674.9628382103,6.8738384408164,9.28309356162694,5.09,,2.56777659798885,30222994.0
RESULTS-BASED NATIONAL URBAN DEVELOPMENT PROGRAM IN THE NORTHERN MOUNTAINS REGION,East Asia and Pacific,Viet Nam,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,PforR,2014,2022.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,VNM,233451469642.519,2546.38464459903,6.42224312118567,4.08455446637623,1.256,,4.00897026449707,91679578.0
Vietnam Road Asset Management Project,East Asia and Pacific,Viet Nam,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IDA,IPF,2014,2023.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,VNM,233451469642.519,2546.38464459903,6.42224312118567,4.08455446637623,1.256,,4.00897026449707,91679578.0
Enhanced Road Access Project,East Asia and Pacific,Samoa,IDA,non-FCS,IDA non-FCS,Infrastructure,Transport,IDA,IPF,2014,2023.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,2024,WSM,796683519.593842,3982.68080202084,0.659923768782861,-0.406816088424915,8.72,,-5.83183311325534,200037.0
LIFELINE ROAD NETWORK IMPROVEMENT PROJECT,Europe and Central Asia,Armenia,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2013,2023.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,ARM,11121464437.0415,3680.16692158886,3.3,5.78966778544654,16.576,,-7.31624657065382,3022000.0
Second Rural Transport Improvement Project,South Asia,Bangladesh,IDA,non-FCS,IDA non-FCS,Infrastructure,Transport,IDA,IPF,2013,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2024,BGD,149998957434.186,958.262989798283,6.01360565834344,7.53040640913172,4.426,,1.3723251518825,156532141.0
